Name,Style,Brewery,Beer Name (Full),Description,ABV,Min IBU,Max IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty,review_aroma,review_appearance,review_palate,review_taste,review_overall,number_of_reviews,City,Country
Ten Years Alt,Altbier,Victory Brewing Company,Victory Brewing Company Ten Years Alt,"Notes:A Doppelsticke Altbier brewed for Victory Brewing's 10th Anniversary, released in Feb 2006 and debuting at BeerAdvocate's 3rd Annual Extreme Beer Fest in 2006. A dark ale with malty depth, but with the fragrance and bold, brassy tang of European hops. 8.5%. According to Victory, they believe that this could be the first Doppelsticke brewed in the US.\t",8.5,25,50,14,55,31,48,105,31,0,37,59,19,115,3.834661,4.0,3.982072,3.99004,3.886454,251,Downingtown,PA
Three Blind Mice,Altbier,Mother's Brewing Company,Mother's Brewing Company Three Blind Mice,"Notes:Three Blind Mice is inspired by our favorite qualities from English brown ales, German altbiers, and Irish reds. Mother’s trio of beer connoisseurs sipped away many a night, working to find this ideal combination. Mother’s beautiful brown beer is medium-bodied with caramel, toffee, and subtle chocolate malt flavors—all balanced by moderate hop notes and a clean, dry finish.Three Blind Mice combines components of several malty beers for the unique brown beer experience you've been missing. After lots of research to find the perfect styles for our base, the clear winners were the lighter body and caramel characters of Irish red ales, the soft chocolate and toffee flavors from English brown ales, and the hop component and balance of German altbiers. We used traditional elements from each beer style and added our own touch for one incredible brown beer.24 IBU\t",5.5,25,50,11,58,6,47,49,5,1,3,50,5,110,3.5,3.785714,3.642857,3.642857,3.642857,7,Springfield,USA
Ishmael,Altbier,Rising Tide Brewing Company,Rising Tide Brewing Company Ishmael,"Notes:Ishmael is our richly-flavored American copper ale. This American interpretation of the altbiers of Düsseldorf is brewed with continental Munich malt, American-grown hops, and a clean-fermenting ale yeast to produce a slightly sweet and malty beer balanced by a firm bitterness.\t",4.9,25,50,17,41,1,55,43,18,1,20,80,7,103,3.528571,3.914286,3.814286,3.914286,3.9,35,Portland,USA
Headwall Alt,Altbier,Tuckerman Brewing Co.,Tuckerman Brewing Co. Headwall Alt,"Notes:This is traditional style of altbeir from Düsseldorf, Germany. Alt literally means old in German. Staying as true to the recipe as possible, the Headwall Alt is brewed using German malts, plus German and American hops. Like the Pale Ale, the Headwall Alt is cold conditioned, dry-hopped and krausened in the bottle or keg. Similar to the Pale Ale, the process takes about 30 days.\t",4.5,25,50,19,42,13,54,62,19,0,25,64,10,135,3.574074,3.888889,3.709877,3.734568,3.820988,81,Conway,USA
Alt-eration Ale,Altbier,Hops & Grain,Hops & Grain Alt-eration Ale,Notes:,5.0,25,50,21,43,3,54,54,7,0,10,60,9,111,5.0,4.0,4.0,4.0,4.5,1,Austin,USA
Schell's Schmaltz's Alt,Altbier,August Schell Brewing Company,August Schell Brewing Company Barrel Aged Schmaltz's Alt,"Notes:One of Warren's favorite pastimes back in the 30's was a trip to the city dump to shoot rats–so much that it was a common date for him and his wife-to-be, Casey. The manager of the city dump was John Schmaltz–hence the nickname ""Schmaltz"" Marti. We hope you enjoy our Schmaltz's Alt, a creamy smooth dark alt brewed even better than before.\t",5.1,25,50,21,72,9,48,102,25,1,50,43,13,176,3.9125,3.9,3.7375,3.9375,4.075,40,New Ulm,USA
Frankenheim Alt,Altbier,Privatbrauerei Frankenheim,Privatbrauerei Frankenheim Frankenheim Alt,Notes:,4.8,25,50,19,43,5,39,43,13,1,6,45,8,97,3.611111,3.948413,3.698413,3.72619,3.853175,126,Düsseldorf,Germany
Iron Works Alt,Altbier,Metropolitan Brewing,Metropolitan Brewing Iron Works Alt,"Notes:An assertively hoppy top-fermented beer, polished by the wisdom and patience of lagering. Think of it as an octogenarian with a punk rock attitude. Slightly dry, this beer pairs well with hearty cuisine. We also suggest sipping it on its own; the complexity will keep you entertained and happy.45 IBU\t",5.5,25,50,37,50,16,60,84,32,0,46,83,19,121,3.852941,3.970588,4.044118,4.0,4.0,34,Chicago,USA
Diebels Premium Altbier,Altbier,Brauerei Diebels GmbH & Co KG,Brauerei Diebels GmbH & Co KG Diebels Premium Altbier,Notes:,4.9,25,50,21,27,5,37,33,13,0,13,45,10,70,3.75,3.8125,3.625,3.625,3.875,8,Issum,Germany
Hövels Original,Altbier,Hövels Hausbrauerei,Hövels Hausbrauerei Hövels Original Bitterbier,Notes:,5.5,25,50,22,38,10,47,54,10,1,14,68,2,117,3.519231,3.788462,3.711538,3.615385,3.75,26,Dortmund,Germany
Secret Spot Alt Ale,Altbier,Evolution Craft Brewing Company,Evolution Craft Brewing Company Secret Spot Winter Ale,Notes:,6.3,25,50,14,53,16,69,67,29,0,23,87,18,103,3.625,3.625,4.0,4.0,4.125,4,Salisbury,USA
Lighthouse Amber,Altbier,Cheboygan Brewing Company,Cheboygan Brewing Company Lighthouse Amber,"Notes:Our German style Alt has a brilliant amber hue, and silky smooth medium body. Its light tan head is thick, retaining, and laces the glass all the way down. A Noble hop aroma up front finishes with a caramel malt nose. Our old world brewing method brings out a light toasted-bread flavor you’ll want to savor again and again. It’s a mouthwatering, thirst quenching delight.\t",5.25,25,50,11,67,5,35,86,21,0,28,54,4,138,4.0,4.0,4.0,4.0,4.0,1,Cheboygan,USA
Série Signature Sticke Alt,Altbier,Les Trois Mousquetaires,Les Trois Mousquetaires Série Signature Sticke Alt,"Notes:Malts: Pilsner, Pale, Caramel 60, Caramel 160/ 74 IBU / Hops: Magnum, N Brewer, HallertauOG: 15.3ºP FG:4.3ºP / SRM: 19 / 12 month aging\t",6.0,25,50,17,57,14,96,106,23,0,42,122,11,130,3.916667,4.216667,3.983333,3.916667,3.866667,30,December 8,2023 (USA)
Crooked Coast Altbier,Altbier,Driftwood Brewery,Driftwood Brewery Crooked Coast Amber Ale,"Notes:Inspired by the original Alt-style beer of Dusseldorf, Crooked Coast brings together the aromas of German noble hops and Munich malt to produce a very refreshing and mellow ale that is the perfect companion on any shape of coast.\t",5.1,25,50,20,36,7,76,47,39,2,40,100,8,76,3.972222,4.194444,3.833333,4.055556,4.083333,18,BC V9A 4V1,Canada
Gravel Road,Altbier,Rahr & Sons Brewing Company,Rahr & Sons Brewing Company Gravel Road,Notes:,7.25,25,50,5,48,6,54,66,11,0,16,52,9,109,3.522727,3.545455,3.795455,3.522727,3.636364,22,Fort Worth,USA
Little Red Cap,Altbier,Grimm Brothers Brewhouse,Grimm Brothers Brewhouse Little Red Cap,"Notes:Altbier is German for “Old Beer”, this refers to the “old” style of brewing using an ale yeast (As opposed to a lager yeast fermentation which is a relatively new process). This beer originated in the Westphalia region of Germany in a town named Dusseldorf. Due to the cool climate of Dusseldorf, Altbiers employee an ale yeast that has evolved over time to ferment at somewhat cooler temperature than that of other ale yeasts. This cool fermentation produces subtle yeast derived esters and leaves a clean malty beer. In addition to this cool clean fermentation, altbiers are then lagered at cold temperatures to help smooth and refine the beer. The result of this is a very clean and hoppy red ale.Coming in at 6.2% ABV and IBUs Little Red Cap is an easy drinking hop forward beer worthy of its heritage. We use a bit of Cascade hop to give it an “American Twist” while maintaining its German heritage. This beer won a Gold Medal at the 2011 and 2016 GABF and a Bronze at the 2012 GABF. It also won a Silver Award at the 2016 World beer cup.",5.2,25,50,27,39,18,47,52,28,4,24,59,6,100,3.833333,3.833333,3.833333,3.666667,4.0,3,Loveland,USA
Moby D,Altbier,Buzzards Bay Brewing,Buzzards Bay Brewing Moby D,Notes:,5.0,25,50,26,37,14,65,57,33,0,33,107,3,98,3.545455,4.136364,3.636364,3.681818,3.909091,11,Westport,USA
Über Alt,Altbier,Rush River Brewing Company,Rush River Brewing Company Über Alt,"Notes:Our Alt is a much stronger version of the traditional Dusseldorf Altbiers. An ancient style from the Rhineland, Altbiers are ales that were virtually wiped out by German lagers in the 1800’s. We use plenty of European hops and German pilsner malts to brew a remarkably clean beer. We then rest it in the cooler for two months to achieve the mellow finish that is the Überalt’s trademark.\t",8.5,25,50,32,64,28,47,135,49,2,65,55,15,182,3.933333,3.866667,4.266667,4.266667,4.166667,15,River Falls,USA
Füchschen Alt,Altbier,Brauerei Im Füchschen,Brauerei Im Füchschen Im Füchschen Alt,Notes:,4.5,25,50,33,54,13,52,57,10,0,14,68,15,100,4.095238,4.238095,4.261905,4.214286,4.452381,21,Düsseldorf,Germany
Sticke It To The Man,Altbier,O'Fallon Brewery,O'Fallon Brewery Sticke It To The Man,Notes:,7.5,25,50,18,55,50,51,87,22,0,39,47,6,96,3.363636,3.621212,3.515152,3.333333,3.287879,33,Maryland Heights,USA
Evan Altmighty,Altbier,Blue Mountain Brewery,Blue Mountain Brewery Evan Altmighty,"Notes:34 IBUPilsner, CaraPils and Vienna MaltsHallertau Mittelfruh HopsAle YeastDeep Well Water\t",6.6,25,50,21,39,7,40,62,34,0,47,65,5,80,4.0,3.9,3.9,4.0,4.1,5,Afton,USA
ALTerior Motive,Altbier,COAST Brewing Company,COAST Brewing Company ALTerior Motive,"Notes:Our altbier is crafted after the authentic, or sticke, style that originated in Germany. It is extremely malty, aggressively hoppy and cold conditioned for a clean, smooth finish.\t",6.3,25,50,27,61,11,56,61,46,0,40,77,14,110,4.1875,4.0625,4.25,4.25,4.46875,16,San Luis Obispo,USA
The Detroit Dwarf,Altbier,Detroit Beer Co.,Detroit Beer Co. Detroit Beer Co. The Detroit Dwarf,"Notes:""This beer has won a bronze, silver and gold as an Alt at the Great american beer festival, and now a silver at the world beer cup as an Alt.""\t",6.8,25,50,19,57,13,42,68,25,0,29,54,12,70,3.655172,3.931034,3.810345,3.689655,3.827586,29,Detroit,USA
Brewer's Reserve Bourbon Barrel Barleywine,Barleywine - American,Central Waters Brewing Company,Central Waters Brewing Company Bourbon Barrel Barleywine,Notes:Aged for 1 year in used bourbon barrels.\t,14.3,60,100,11,65,94,40,142,25,0,63,23,27,133,4.369205,4.072848,4.193709,4.307947,4.09106,302,Amherst,USA
Old Horizontal,Barleywine - American,Victory Brewing Company,Victory Brewing Company Old Horizontal,"Notes:Massive amounts of barley malts, combined with fresh harvest American hops make it aromatic and spicy on the nose. Floral, fruity aromas slide into honeyed malt depth with lingering sensations of candied and citrus fruit. Late warming alcohol brings all of these flavors into wonderful harmony to finish.Malt: Imported 2 row German maltsHops: Whole flower American hopsFood Pairings: Meat pies and English cheese\t",11.0,60,100,9,49,45,78,83,36,1,52,97,12,117,4.051918,4.075772,4.084191,4.14406,3.963517,1069,Downingtown,PA
Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,Three Floyds Brewing Co. & Brewpub Behemoth Blonde Barleywine,"Notes:A huge, sweet barleywine with complex caramel malt notes, balanced by generous hopping and a high alcohol content. This fruity and malty beer is best enjoyed while keeping warm in the brutal winter months.80 IBU2005 Bottle release - Pink Wax 2007 Bottle release - Yellow Wax, hands not skull on flat finish label (Brewed in Nov 06) 2008 Bottle release - Purple Wax 2009 Bottle release - Blue Wax2010 Bottle release - Green Wax2011 Bottle release - White Wax2011 Bottle release - Yellow Wax, glossy label, skull on label (Ohio only)2012 Bottle release - Red Wax2013 Bottle release - Orange Wax2014 Bottle release - Blue Wax2015 Bottle release - Purple Wax2016 Bottle release - Black Metallic Wax2017 Bottle release - Silver Wax\t",10.5,60,100,18,71,52,90,125,72,0,101,105,24,105,4.207373,4.123272,4.187788,4.264977,4.059908,434,Munster,USA
Olde GnarlyWine,Barleywine - American,Lagunitas Brewing Company,Lagunitas Brewing Company Olde GnarlyWine,"Notes:2011: 10.6% ABV, 69 IBU\t",10.9,60,100,14,49,44,47,74,28,0,43,68,17,89,4.052373,4.143208,4.082651,4.12766,4.016367,611,Petaluma,USA
Old Numbskull,Barleywine - American,AleSmith Brewing Company,AleSmith Brewing Company AleSmith Old Numbskull,Notes:,11.0,60,100,14,58,36,52,117,29,0,54,67,13,122,4.176471,4.082633,4.137255,4.221289,4.102241,357,San Diego,USA
Flying Mouflan,Barleywine - American,Tröegs Brewing Company,Tröegs Brewing Company Flying Mouflan,Notes:This strong alluring ale is two beers in one. Cracking open a fresh bottle unleashes hops and heat with more than 100 IBUs emanating from three hop varieties and sweet burn of 9.3% ABV. Cellaring the Flying Mouflan in a cool dark place at 50 degrees for a minimum of four months will mellow out the hops and wash away the heat. If you can resist temptation you will be rewarded with two memorable beers in a single bottle.\t,9.3,60,100,17,74,41,66,143,38,1,78,72,11,130,4.134783,4.133696,4.141304,4.23587,4.083696,460,Hershey,USA
Helldorado,Barleywine - American,Firestone Walker Brewing Co.,Firestone Walker Brewing Co. Helldorado,"Notes:Part of the adventure of aging beer in retired spirits barrels is the synergistic interaction of different malt flavors with the oak and spirit flavors from the barrel. Darker beers like stouts and darker barley wines have typically been the favored candidates for barrel-aging, due to their deeper caramel and roasted flavors. Helldorado breaks that mold with a deep golden color from being brewed solely with English and American pale malts. The bready, honeyed flavors of pale malts pull out rich wildflower honey, vanilla and coconut notes from the oak, creating an overall flavor evocative of bourbon-glazed graham crackers that stands as singularly unique in our Vintage lineup.\t",12.8,60,100,6,39,56,25,101,23,5,45,48,21,134,4.5,4.0,4.0,4.5,4.5,1,Paso Robles,USA
Cockeyed Cooper,Barleywine - American,Uinta Brewing Company,Uinta Brewing Company Cockeyed Cooper,Notes:Aged in bourbon barrels.65 IBU\t,11.1,60,100,12,62,66,38,52,20,0,32,42,22,103,3.943333,4.086667,3.843333,3.88,3.813333,150,Salt Lake City,USA
Solstice D'hiver,Barleywine - American,Brasserie Dieu Du Ciel,Brasserie Dieu Du Ciel Solstice D'hiver,"Notes:This noble winter beer is brown in colour with flaming red highlights. It has a complex aroma of fruits, alcohol and hops. Its taste is delicately sweet and liquor-like with a hint of burnt caramel. It is a very bitter beer with aromas and flavours reminiscent of red fruit. The aftertaste is accentuated by the wonderful flavour of hops.\t",10.2,60,100,23,54,61,70,125,33,0,54,62,22,119,3.905172,3.912069,3.881034,3.927586,3.817241,290,QC H2T 2N2,Canada
Anniversary Barley Wine Ale,Barleywine - American,Uinta Brewing Company,Uinta Brewing Company Anniversary Barley Wine,"Notes:Rich and complex, this all malt barley wine exhibits hints of dried fruits, toffee and caramel balanced by an abundance of American hops.72 IBU\t",10.4,60,100,7,47,39,64,97,27,1,46,67,2,110,3.892606,3.924296,3.77993,3.818662,3.769366,284,Salt Lake City,USA
Barleywine Style Ale,Barleywine - American,Green Flash Brewing Co.,Green Flash Brewing Co. Barleywine Style Ale,Notes:,10.9,60,100,12,44,35,70,74,39,1,45,81,17,99,3.883954,4.101719,3.89255,3.84384,3.732092,349,San Diego,USA
Griffin's BowBoston Beer Company (Samuel Adams),Barleywine - American,Boston Beer Company (Samuel Adams),Boston Beer Company (Samuel Adams) Griffin's Bow,"Notes:From the aroma and notes of sweet honeysuckle, pineapple, and grapefruit, to richer hints of burnt sugar, and toffee, this intriguing brew is full of complex flavors. The distinct character of toasted oak adds depth and contrasts the light fruit sweetness. This unique take on a barley wine ale surprises with its smoothness and balance of fruit, hop citrus, and warmth.Hops: Nelson Sauvin, ZeusMalts: Two-Row Harrington, Metcalfe, Copeland Pale, Paul’s CaramaltAged on toasted oak\t",11.5,60,100,5,65,41,60,146,78,0,117,71,25,104,3.557471,3.833333,3.586207,3.442529,3.465517,87,Boston,USA
Sisyphus,Barleywine - American,Real Ale Brewing Company,Real Ale Brewing Company Sisyphus,Notes:,11.5,60,100,11,68,37,80,109,67,0,83,96,5,87,3.877622,3.914336,3.909091,3.903846,3.826923,286,Blanco,USA
Gratitude,Barleywine - American,East End Brewing Company,East End Brewing Company Gratitude,"Notes:A limited edition Barleywine Style Ale, brewed in November in the American tradition and hand packaged to specially commemorate the anniversary of the brewery each year.Gratitude Wax Colors:2005-Red Wax2006-Orange Wax2007-Yellow Wax2008-Green Wax2009-Blue Wax2010-Indigo Wax2011-no wax, blank cap (Flatitude)2012-no wax, ""12"" on cap (Flatitude)2013-Violet Wax2014 - red wax, label made to look like paper\t",11.5,60,100,10,69,31,66,124,43,1,60,77,10,108,4.278646,4.161458,4.205729,4.369792,4.174479,192,Pittsburgh,USA
Barleywine Ale,Barleywine - American,The Duck-Rabbit Craft Brewery,The Duck-Rabbit Craft Brewery Duck-Rabbit Barleywine Ale,"Notes:The Duck-Rabbit Barleywine is the hoppiest of all the Duck-Rabbit brews. This is a Farmville-style Barleywine, crafted the way brewers in Farmville have always done. Loads of Amarillo hops give a piney citrusy bitterness that's supported beautifully by a toffee malt backbone.\t",11.0,60,100,14,57,43,86,86,36,1,61,96,16,95,3.931973,4.044218,3.829932,3.809524,3.721088,294,Farmville,USA
The Vermonster,Barleywine - American,Rock Art Brewery,Rock Art Brewery Vermonster,Notes:We brewed The Vermonster with 110 pounds of malt per barrel and jacked up the pour into a wide mouth thin glass goblet.\t,10.0,60,100,34,41,29,86,50,28,0,34,114,9,83,3.923267,3.975248,3.861386,3.910891,3.816832,202,Morristown,USA
Smuttynose Barleywine Style Ale (Big Beer Series),Barleywine - American,Smuttynose Brewing Company,Smuttynose Brewing Company Smuttynose Barleywine Style Ale (Big Beer Series),"Notes:First brewed in England, these potent, malty monsters were frequently aged before being put into small bottles and sold as strong beers or even medicinal tonics. The American version has been blown up with more alcohol, larger bottles and more hops.Smuttynose Barleywine straddles these two branches of the barleywine tree. When you taste it, you’ll notice deep, rich caramel malt flavors, balanced with hop bitterness. Fruity hop flavors act as a garnish for its amped-up but classic flavor. For a more refined experience, tuck a few bottles away for a year or two. The alcohol will mellow and the hop aromas will fade into the background, leaving the luscious malt to shine on its own.65 IBU2007 - 11.4%2009 - 11.1%\t",11.6,60,100,11,75,43,89,89,46,0,54,106,17,97,3.995327,3.96729,3.929907,4.004673,3.847352,321,Hampton,USA
John Barleycorn Barleywine Ale,Barleywine - American,Mad River Brewing Company,Mad River Brewing Company John Barleycorn Barleywine Ale,Notes:Same recipe each year. ABV varies slightly 9.5-11.0%\t,11.4,60,100,12,71,61,57,98,48,1,59,59,14,89,3.730892,3.756369,3.789809,3.714968,3.673567,314,Blue Lake,USA
Barrel Aged Behemoth,Barleywine - American,Three Floyds Brewing Co. & Brewpub,Three Floyds Brewing Co. & Brewpub Barrel Aged Behemoth,Notes:American barleywine aged in Woodford Reserve bourbon barrels.\t,12.5,60,100,13,58,66,38,86,36,0,61,42,35,92,4.348485,4.0,4.333333,4.469697,4.287879,33,Munster,USA
Old Numbskull - Bourbon Barrel-Aged,Barleywine - American,AleSmith Brewing Company,AleSmith Brewing Company AleSmith Old Numbskull - Barrel Aged,"Notes:A West Coast style barleywine. A huge malt profile and a very aggressive dose of premium domestic hops give Old Numbskull a tantalizing complexity, from the aroma to the aftertaste. A year spent in bourbon barrels adds amazing depth and complexity.\t",11.0,60,100,9,57,67,26,113,20,0,36,23,25,132,4.34127,4.071429,4.301587,4.349206,4.198413,63,San Diego,USA
Devil's Milk,Barleywine - American,DuClaw Brewing Company,DuClaw Brewing Company Devil's Milk,"Notes:Our award winning barleywine will seduce you with its assertive hop bill (that changes each year to make each vintage unique), citrus flavors, and warming 10% ABV. Devil’s Milk is best served in a snifter to accommodate its ABV and allow complex flavors to emerge as it warms in your hands.\t",10.0,60,100,15,73,45,78,125,80,2,122,117,9,103,3.844156,3.948052,3.896104,3.896104,3.785714,77,Rosedale,USA
Big Worse,Barleywine - American,Mikkeller ApS,Mikkeller ApS Big Worse,"Notes:Brewed at De Proefbrouwerij.Ingredients: Water, malt (pils and caramunich), candy sugar, hops (nugget, cascade and centennial) and ale yeast.\t",12.0,60,100,14,50,58,67,137,71,0,110,79,12,114,3.894737,3.62201,3.688995,3.825359,3.600478,209,Mikkel Borg Bjergsø,Kristian Klarup Keller
Olde Bluehair Barley Wine,Barleywine - American,Big Sky Brewing Company,Big Sky Brewing Company Olde Bluehair - Barrel Aged,Notes:75 IBU\t,12.0,60,100,10,53,63,53,71,22,1,32,56,23,114,3.979452,3.986301,3.876712,4.068493,3.917808,73,Missoula,USA
Old Blarney Barleywine,Barleywine - American,Moylan's Brewery,Moylan's Brewery Old Blarney Barleywine,Notes:,10.0,60,100,14,66,38,61,107,39,0,64,69,6,119,3.884783,4.026087,3.936957,3.884783,3.821739,230,Novato,USA
Druid Fluid,Barleywine - American,"Middle Ages Brewing Co., Ltd.","Middle Ages Brewing Co., Ltd. Druid Fluid",Notes:,9.5,60,100,25,55,39,90,116,56,3,88,105,4,102,3.945607,4.012552,3.958159,3.943515,3.834728,239,Syracuse,USA
Holidale,Barleywine - American,Berkshire Brewing Company Inc.,Berkshire Brewing Company Inc. Holidale,Notes:,9.5,60,100,15,72,50,79,103,42,0,53,69,27,107,3.831325,3.987952,3.906627,3.990964,3.891566,166,South Deerfield,USA
Old Howling Bastard,Barleywine - American,Blue Point Brewing Company,Blue Point Brewing Company Blue Point Old Howling Bastard,"Notes:Our special barley wine is made with English 2-row barley and Vienna malt. Its robust, malty, caramel flavor is balanced by lots and lots of hops, giving it a great depth of character.\t",10.0,60,100,9,59,37,45,100,34,0,44,60,11,115,3.826733,3.955446,3.841584,3.80198,3.717822,101,Patchogue,USA
Old Backus Barleywine,Barleywine - American,Free State Brewing Co.,Free State Brewing Co. Old Backus Barleywine,"Notes:Bronze Medal Winner, 1997 World Beer Championships - Barleywines.Old Backus contains just over 2,000 pounds of malt and 55 pounds of hops. The original gravity is 25.6 P/1092 which contributes to an alcohol content of 10.5% by volume. This is a tremendously complex beer that should be savoured slowly and in moderation. It will continue to change with age as it is served unfiltered.This barleywine is named after Richard Backus, an old friend to the Brewery.\t",10.5,60,100,7,62,45,56,127,39,1,49,62,4,108,4.446429,4.116071,4.410714,4.491071,4.375,56,Lawrence,USA
§ucaba,Barleywine - English,Firestone Walker Brewing Co.,Firestone Walker Brewing Co. §ucaba (Abacus),"Notes:Also known as Abacus2011 Reserve Series Bottle Notes:O.G. 27 PlatoF.G. 4.7 PlatoI.B.U. 42 unitsYeast: British Ale (House)Cases: 1500 producedColor: 36SRM (Dark Ruby)2014 Bottle NotesO.G. 27 PlatoF.G. 4.7 PlatoI.B.U. 42 unitsYeast: British Ale (House)Cases: 3500 producedColor: 36SRM (Dark Ruby)Matured for 1 year in a blend of Heaven Hill, 4 Roses, and Old Fitzgerald barrels.\t",12.5,40,60,5,51,74,24,105,23,0,50,19,18,112,4.376302,4.057292,4.292969,4.505208,4.375,384,Paso Robles,USA
